status,source_account_folder,source_account_id,source_bucket,bucket_key,db_path,rows_read,error
OK,account_1513550384_DEMO,1513550384_DEMO,GBPJPY_86_5.19.174_BUY_2026-06-01_to_2026-06-02,GBPJPY_86_5.19.174_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/GBPJPY_86_5.19.174_BUY_2026-06-01_to_2026-06-02/trades.db,2,
OK,account_1513550384_DEMO,1513550384_DEMO,GBPJPY_87_5.51.104_BUY_2026-06-02_to_2026-06-02,GBPJPY_87_5.51.104_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/GBPJPY_87_5.51.104_BUY_2026-06-02_to_2026-06-02/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,GBPJPY_96_2.37.164_BUY_2026-06-01_to_2026-06-04,GBPJPY_96_2.37.164_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/GBPJPY_96_2.37.164_BUY_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPUSD_19_0.13205_BUY_2026-06-01_to_2026-06-03,GBPUSD_19_0.13205_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPUSD_19_0.13205_BUY_2026-06-01_to_2026-06-03/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPUSD_20_1.32.126_BUY_2026-06-04_to_2026-06-04,GBPUSD_20_1.32.126_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPUSD_20_1.32.126_BUY_2026-06-04_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPUSD_21_3.3.167_BUY_2026-06-01_to_2026-06-04,GBPUSD_21_3.3.167_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPUSD_21_3.3.167_BUY_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPUSD_74_6.52.179_SELL_2026-06-02_to_2026-06-02,GBPUSD_74_6.52.179_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPUSD_74_6.52.179_SELL_2026-06-02_to_2026-06-02/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,GBPUSD_81_5.6.129_SELL_2026-06-01_to_2026-06-04,GBPUSD_81_5.6.129_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/GBPUSD_81_5.6.129_SELL_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,GBPUSD_93_0.111778_BUY_2026-06-03_to_2026-06-04,GBPUSD_93_0.111778_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/GBPUSD_93_0.111778_BUY_2026-06-03_to_2026-06-04/trades.db,2,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_23_2.12.147_SELL_2026-06-04_to_2026-06-04,NZDUSD_23_2.12.147_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_23_2.12.147_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_24_4.41.120_SELL_2026-06-01_to_2026-06-04,NZDUSD_24_4.41.120_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_24_4.41.120_SELL_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_25_5.7.105_SELL_2026-06-02_to_2026-06-04,NZDUSD_25_5.7.105_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_25_5.7.105_SELL_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_26_2.6.180_SELL_2026-06-01_to_2026-06-04,NZDUSD_26_2.6.180_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_26_2.6.180_SELL_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_27_6.16.107_SELL_2026-06-05_to_2026-06-05,NZDUSD_27_6.16.107_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_27_6.16.107_SELL_2026-06-05_to_2026-06-05/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_75_4.73.120_SELL_2026-06-04_to_2026-06-04,NZDUSD_75_4.73.120_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_75_4.73.120_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_76_5.71.164_BUY_2026-06-01_to_2026-06-04,NZDUSD_76_5.71.164_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_76_5.71.164_BUY_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_88_5.57.183_SELL_2026-06-04_to_2026-06-04,NZDUSD_88_5.57.183_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_88_5.57.183_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,NZDUSD_97_3.8.175_SELL_2026-06-02_to_2026-06-02,NZDUSD_97_3.8.175_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/NZDUSD_97_3.8.175_SELL_2026-06-02_to_2026-06-02/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,US500_28_3.8.114_BUY_2026-06-01_to_2026-06-05,US500_28_3.8.114_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/US500_28_3.8.114_BUY_2026-06-01_to_2026-06-05/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,US500_29_3.32.156_BUY_2026-06-01_to_2026-06-04,US500_29_3.32.156_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/US500_29_3.32.156_BUY_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550384_DEMO,1513550384_DEMO,US500_82_2.67.165_BUY_2026-06-03_to_2026-06-03,US500_82_2.67.165_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/US500_82_2.67.165_BUY_2026-06-03_to_2026-06-03/trades.db,2,
OK,account_1513550384_DEMO,1513550384_DEMO,USDCAD_30_2.34.141_BUY_2026-06-02_to_2026-06-04,USDCAD_30_2.34.141_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/USDCAD_30_2.34.141_BUY_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,USDCAD_31_3.2.189_BUY_2026-06-02_to_2026-06-04,USDCAD_31_3.2.189_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/USDCAD_31_3.2.189_BUY_2026-06-02_to_2026-06-04/trades.db,2,
OK,account_1513550384_DEMO,1513550384_DEMO,USDCAD_32_4.16.175_BUY_2026-06-02_to_2026-06-04,USDCAD_32_4.16.175_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/USDCAD_32_4.16.175_BUY_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,USDCAD_33_5.11.180_BUY_2026-06-01_to_2026-06-04,USDCAD_33_5.11.180_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/USDCAD_33_5.11.180_BUY_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,USDCAD_34_1.8.187_BUY_2026-06-01_to_2026-06-02,USDCAD_34_1.8.187_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/USDCAD_34_1.8.187_BUY_2026-06-01_to_2026-06-02/trades.db,2,
